id,user_id,page_id,time_stamp,action,object_clicked
9933,251,300,"2023-01-31 10:13:04",page-load,video
11893,251,300,"2023-02-01 12:15:15",page-load,video
12010,251,301,"2023-02-01 12:24:24",page-load,"web form: question"
12014,251,301,"2023-02-01 12:24:37",tracked,"Having a harder time remembering important events"
12015,251,301,"2023-02-01 12:24:38",click,next-page
12016,251,302,"2023-02-01 12:24:39",page-load,"web form: question"
12017,251,302,"2023-02-01 12:24:39",tracked,"Finding it increasingly difficult to participate in group events and community activities"
12018,251,302,"2023-02-01 12:24:41",tracked,"Losing track of conversations, movies, and books"
12019,251,302,"2023-02-01 12:24:44",click,next-page
12020,251,303,"2023-02-01 12:24:44",page-load,"web form: question"
12022,251,303,"2023-02-01 12:24:45",tracked,"Feeling increasingly overwhelmed by making decisions"
12023,251,303,"2023-02-01 12:24:46",tracked,"Having a harder time completing minor household repairs"
12024,251,303,"2023-02-01 12:24:46",tracked,"Feeling increasingly overwhelmed by planning steps to accomplish a task"
12025,251,303,"2023-02-01 12:24:48",tracked,"Having a harder time navigating (walking or driving) around unfamiliar and familiar environments"
12028,251,303,"2023-02-01 12:24:52",click,hint
12029,251,303,"2023-02-01 12:24:53",click,hint
12030,251,303,"2023-02-01 12:24:54",click,next-page
12032,251,304,"2023-02-01 12:24:54",page-load,"web form: question"
12033,251,305,"2023-02-01 12:24:55",page-load,"web form: question"
12034,251,305,"2023-02-01 12:24:56",click,next-page
12035,251,306,"2023-02-01 12:24:57",page-load,video
12042,251,305,"2023-02-01 12:25:39",click,previous-page
12043,251,304,"2023-02-01 12:25:40",page-load,"web form: question"
12044,251,304,"2023-02-01 12:25:43",click,previous-page
12045,251,303,"2023-02-01 12:25:44",page-load,"web form: question"
12046,251,303,"2023-02-01 12:25:45",click,previous-page
12047,251,302,"2023-02-01 12:25:46",page-load,"web form: question"
12048,251,302,"2023-02-01 12:25:47",click,previous-page
12049,251,301,"2023-02-01 12:25:47",page-load,"web form: question"
12050,251,301,"2023-02-01 12:25:49",click,previous-page
12051,251,300,"2023-02-01 12:25:49",page-load,video
12052,251,301,"2023-02-01 12:25:57",page-load,"web form: question"
12059,251,301,"2023-02-01 12:27:02",tracked,"Having a harder time with scheduling and keeping appointments"
12060,251,301,"2023-02-01 12:27:03",click,next-page
12061,251,302,"2023-02-01 12:27:03",page-load,"web form: question"
12062,251,303,"2023-02-01 12:27:04",page-load,"web form: question"
12063,251,303,"2023-02-01 12:27:05",tracked,"Having a harder time navigating (walking or driving) around unfamiliar and familiar environments"
12064,251,303,"2023-02-01 12:27:06",click,next-page
12065,251,304,"2023-02-01 12:27:06",page-load,"web form: question"
12066,251,304,"2023-02-01 12:27:07",tracked,"Forgetting things more often"
12067,251,304,"2023-02-01 12:27:08",click,next-page
12068,251,305,"2023-02-01 12:27:09",page-load,"web form: question"
12069,251,305,"2023-02-01 12:27:13",click,next-page
12070,251,306,"2023-02-01 12:27:13",page-load,video
12071,251,307,"2023-02-01 12:28:30",page-load,"tech comfort quiz, part one"
12072,251,307,"2023-02-01 12:28:34",tracked,"Comfort with tech 7"
12073,251,307,"2023-02-01 12:28:35",tracked,"Confidence in tech 7"
12074,251,307,"2023-02-01 12:28:36",tracked,"Problem-solve tech 7"
12075,251,307,"2023-02-01 12:28:37",click,next-page
12076,251,308,"2023-02-01 12:28:38",page-load,"tech comfort quiz, part two"
12077,251,308,"2023-02-01 12:28:39",tracked,"Operate tech 7"
